min_age max_age Crude	adj_censoring	add_adj_demo_under_ascertainment
0	9	0	0.095	0.0026
10	19	0.182	0.352	0.0148
20	29	0.193	0.296	0.06
30	39	0.237	0.348	0.146
40	49	0.44	0.71	0.3
50	59	1.3	2.1	1.3
60	69	3.6	5.8	4
70	79	8	12.7	8.6
80	89	14.8	23.3	13.4
